eventID	sourceFileName	file_path	relative_path	campaign	parentEventID	rovID	verbatimLocality	dynamicProperties	dc:type	dcterms:type	subtype	subtypeLiteral	title	fundingAttribution	licenseLogoURL	metadataLanguage	metadataLanguageLiteral	provider	providerLiteral	dc:format	dcterms:format
TANGO1_ROV13_q1	TANGO1_ROV13_q1_whole.tif	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/orthomosaics/TANGO1_ROV13_q1_whole.tif	TANGO1/orthomosaics/TANGO1_ROV13_q1_whole.tif	TANGO1	https://www.wikidata.org/entity/Q119843670	ROV13	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV13"",""transect"":""q1"",""TANGO_sample_ID"":""1391"",""station"":""DI"",""number"":""5"",""new_name"":null,""name_in_paper"":""DI5"",""site"":null,""deployed_from"":""Zodiac"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV13, (TANGO1_ROV13_q1_whole.tif)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	TIFF	http://rs.tdwg.org/format/values/m011
TANGO1_ROV13_q2	TANGO1_ROV13_q2_ortho_whole.tif	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/orthomosaics/TANGO1_ROV13_q2_ortho_whole.tif	TANGO1/orthomosaics/TANGO1_ROV13_q2_ortho_whole.tif	TANGO1	https://www.wikidata.org/entity/Q119843670	ROV13	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV13"",""transect"":""q2"",""TANGO_sample_ID"":""1392"",""station"":""DI"",""number"":""5"",""new_name"":null,""name_in_paper"":""DI5"",""site"":null,""deployed_from"":""Zodiac"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV13, (TANGO1_ROV13_q2_ortho_whole.tif)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	TIFF	http://rs.tdwg.org/format/values/m011
TANGO1_ROV13_q3	TANGO1_ROV13_q3_whole.tif	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/orthomosaics/TANGO1_ROV13_q3_whole.tif	TANGO1/orthomosaics/TANGO1_ROV13_q3_whole.tif	TANGO1	https://www.wikidata.org/entity/Q119843670	ROV13	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV13"",""transect"":""q3"",""TANGO_sample_ID"":""1393"",""station"":""DI"",""number"":""5"",""new_name"":null,""name_in_paper"":""DI5"",""site"":null,""deployed_from"":""Zodiac"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV13, (TANGO1_ROV13_q3_whole.tif)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	TIFF	http://rs.tdwg.org/format/values/m011
TANGO1_ROV4_q1	TANGO1_ROV4_q1_ortho_better.tif	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/orthomosaics/TANGO1_ROV4_q1_ortho_better.tif	TANGO1/orthomosaics/TANGO1_ROV4_q1_ortho_better.tif	TANGO1	https://www.wikidata.org/entity/Q119843670	ROV4	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV4"",""transect"":""q1"",""TANGO_sample_ID"":""91"",""station"":""DI"",""number"":""4"",""new_name"":null,""name_in_paper"":""DI4"",""site"":null,""deployed_from"":""Australis"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV4, (TANGO1_ROV4_q1_ortho_better.tif)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	TIFF	http://rs.tdwg.org/format/values/m011
TANGO1_ROV4_q3	TANGO1_ROV4_q3_ortho_whole_blended.tif	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/orthomosaics/TANGO1_ROV4_q3_ortho_whole_blended.tif	TANGO1/orthomosaics/TANGO1_ROV4_q3_ortho_whole_blended.tif	TANGO1	https://www.wikidata.org/entity/Q119843670	ROV4	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV4"",""transect"":""q3"",""TANGO_sample_ID"":""93"",""station"":""DI"",""number"":""4"",""new_name"":null,""name_in_paper"":""DI4"",""site"":null,""deployed_from"":""Australis"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV4, (TANGO1_ROV4_q3_ortho_whole_blended.tif)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	TIFF	http://rs.tdwg.org/format/values/m011
TANGO1_ROV6_q1	TANGO1_ROV6_q1_ortho_whole.tif	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/orthomosaics/TANGO1_ROV6_q1_ortho_whole.tif	TANGO1/orthomosaics/TANGO1_ROV6_q1_ortho_whole.tif	TANGO1	https://www.wikidata.org/entity/Q119843670	ROV6	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV6"",""transect"":""q1"",""TANGO_sample_ID"":""261"",""station"":""DI"",""number"":""3"",""new_name"":null,""name_in_paper"":""DI3"",""site"":null,""deployed_from"":""Australis"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV6, (TANGO1_ROV6_q1_ortho_whole.tif)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	TIFF	http://rs.tdwg.org/format/values/m011
TANGO1_ROV7_t1	TANGO1_ROV7_6_018.png	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/transects/TANGO1_ROV7/TANGO1_ROV7_6_018.png	TANGO1/transects/TANGO1_ROV7/TANGO1_ROV7_6_018.png	TANGO1	https://www.wikidata.org/entity/Q119843670	ROV7	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV7"",""transect"":""t1"",""TANGO_sample_ID"":""464"",""station"":""DI"",""number"":""3"",""new_name"":null,""name_in_paper"":""DI3"",""site"":null,""deployed_from"":""Australis"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV7, (TANGO1_ROV7_6_018.png)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	PNG	http://rs.tdwg.org/format/values/m007
TANGO1_ROV7_t1	TANGO1_ROV7_6_019.png	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/transects/TANGO1_ROV7/TANGO1_ROV7_6_019.png	TANGO1/transects/TANGO1_ROV7/TANGO1_ROV7_6_019.png	TANGO1	https://www.wikidata.org/entity/Q119843670	ROV7	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV7"",""transect"":""t1"",""TANGO_sample_ID"":""464"",""station"":""DI"",""number"":""3"",""new_name"":null,""name_in_paper"":""DI3"",""site"":null,""deployed_from"":""Australis"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV7, (TANGO1_ROV7_6_019.png)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	PNG	http://rs.tdwg.org/format/values/m007
TANGO1_ROV7_t1	TANGO1_ROV7_6_020.png	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/transects/TANGO1_ROV7/TANGO1_ROV7_6_020.png	TANGO1/transects/TANGO1_ROV7/TANGO1_ROV7_6_020.png	TANGO1	https://www.wikidata.org/entity/Q119843670	ROV7	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV7"",""transect"":""t1"",""TANGO_sample_ID"":""464"",""station"":""DI"",""number"":""3"",""new_name"":null,""name_in_paper"":""DI3"",""site"":null,""deployed_from"":""Australis"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV7, (TANGO1_ROV7_6_020.png)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	PNG	http://rs.tdwg.org/format/values/m007
TANGO1_ROV7_t1	TANGO1_ROV7_6_021.png	/Users/ymgan/OneDrive - Royal Belgian Institute of Natural Sciences/TANGO_ROV_images/TANGO1/transects/TANGO1_ROV7/TANGO1_ROV7_6_021.png	TANGO1/transects/TANGO1_ROV7/TANGO1_ROV7_6_021.png	TANGO1	https://www.wikidata.org/entity/Q119843670	ROV7	Dodman Island	{""campaign"":""TANGO1"",""rovID"":""ROV7"",""transect"":""t1"",""TANGO_sample_ID"":""464"",""station"":""DI"",""number"":""3"",""new_name"":null,""name_in_paper"":""DI3"",""site"":null,""deployed_from"":""Australis"",""heading_ROV"":null}	StillImage	http://purl.org/dc/dcmitype/StillImage	http://rs.tdwg.org/acsubtype/values/Photograph	Photograph	Photo of benthic habitat from TANGO1, ROV7, (TANGO1_ROV7_6_021.png)	This work was supported by the “Estimating Tipping points in habitability of ANtarctic benthic ecosystems under GlObal future climate change scenarios” project (TANGO; B2/212/P1/TANGO) funded by the ‘Belgian Science Policy Office (BELSPO)	https://licensebuttons.net/l/by/4.0/80x15.png	http://id.loc.gov/vocabulary/iso639-2/eng	eng	https://orcid.org/0000-0001-5748-602X	Lea Katz	PNG	http://rs.tdwg.org/format/values/m007
